iata;type;name;coordinates;timezone;parent_name;City
FOU;city;Fougamou;-1.216853:10.58402;Africa/Libreville;Gabon;Fougamou
TBF;city;Tabiteuea North;-1.2237051:174.7761056;Pacific/Tarawa;Kiribati;Tabiteuea North
ATF;city;Ambato;-1.24021:-78.620079;America/Guayaquil;Ecuador;Ambato
KNY;city;Kinoosao;-1.25:36.7;America/Regina;Canada;Kinoosao
BPN;city;Balikpapan;-1.265386:116.8312;Asia/Makassar;Indonesia;Balikpapan
NBO;city;Nairobi;-1.2833333:36.8166667;Africa/Nairobi;Kenya;Nairobi
BEZ;city;Beru;-1.2907147:175.9662154;Pacific/Tarawa;Kiribati;Beru
BKZ;city;Bukoba;-1.322312:31.807989;Africa/Dar_es_Salaam;Tanzania;Bukoba
LPD;city;La Pedrera;-1.33:-69.58;America/Bogota;Colombia;La Pedrera
NIG;city;Nikunau;-1.3395202:176.4440335;Pacific/Tarawa;Kiribati;Nikunau
JIP;city;Jipijapa;-1.350618:-80.579529;America/Guayaquil;Ecuador;Jipijapa
AGD;city;Anggi;-1.383333:133.866667;Asia/Jayapura;Indonesia;Anggi
MRE;city;Mara Lodges;-1.4:35.01;Africa/Nairobi;Kenya;Mara Lodges
MWU;city;Mussau;-1.4123681:149.6103349;Pacific/Ponape;Papua New Guinea;Mussau
PSJ;city;Poso;-1.42:120.66;Asia/Makassar;Indonesia;Poso
KRZ;city;Kiri;-1.44:19.02;Africa/Kinshasa;Democratic Republic of the Congo;Kiri
TXM;city;Teminabuan;-1.45:132.016667;Asia/Jayapura;Indonesia;Teminabuan
BEL;city;Belem;-1.4550205:-48.5023682;America/Maceio;Brazil;Belem
OKG;city;Okoyo;-1.4615269:15.0761999;Africa/Brazzaville;Republic of the Congo;Okoyo
PUN;city;Punia;-1.4637191:26.4518458;Africa/Lubumbashi;Democratic Republic of the Congo;Punia
AUI;city;Aua Island;-1.466341:143.0647029;Pacific/Port_Moresby;Papua New Guinea;Aua Island
TSU;city;Tabiteuea South;-1.47:175.06;Pacific/Tarawa;Kiribati;Tabiteuea South
TMT;city;Trombetas;-1.49:-56.4;America/Manaus;Brazil;Trombetas
ECO;city;El Encanto;-1.5:-73.5;America/Bogota;Colombia;El Encanto
RHG;city;Ruhengeri;-1.5:29.6333333;Africa/Kigali;Rwanda;Ruhengeri
MUZ;city;Musoma;-1.5:33.8;Africa/Dar_es_Salaam;Tanzania;Musoma
PTZ;city;Pastaza;-1.51:-78.06;America/Guayaquil;Ecuador;Pastaza
RSK;city;Ransiki;-1.51:134.17;Asia/Jayapura;Indonesia;Ransiki
HOA;city;Hola;-1.52:40.0;Africa/Nairobi;Kenya;Hola
MNP;city;Maron;-1.5382369:145.0286682;Asia/Jakarta;Papua New Guinea;Maron
MFF;city;Moanda;-1.55702:13.22797;Africa/Libreville;Gabon;Moanda
LEO;city;Leconi;-1.57:14.29;Africa/Libreville;Gabon;Leconi
OMB;city;Omboue;-1.575187:9.2591571;Africa/Libreville;Gabon;Omboue
RDE;city;Merdey;-1.583333:133.333333;Asia/Jayapura;Indonesia;Merdey
DJB;city;Jambi;-1.596672:103.615799;Asia/Jakarta;Indonesia;Jambi
TAX;city;Taliabu;-1.62:124.55;Asia/Jayapura;Indonesia;Taliabu
MVB;city;Franceville;-1.6333333:13.5833333;Africa/Libreville;Gabon;Franceville
EMI;city;Emirau;-1.65:149.97;Pacific/Port_Moresby;Papua New Guinea;Emirau
BVS;city;Breves;-1.6825624:-50.4808365;America/Santarem;Brazil;Breves
GOM;city;Goma;-1.693314:29.225241;Africa/Lubumbashi;Democratic Republic of the Congo;Goma
GYI;city;Gisenyi;-1.6955:29.257469;Africa/Kigali;Rwanda;Gisenyi
KMD;city;Mandji;-1.7:10.4;Africa/Libreville;Gabon;Mandji
KRC;city;Kerinci;-1.7:101.2666667;Asia/Jakarta;Indonesia;Kerinci
KIU;city;Kiunga;-1.73:41.47;;Kenya;Kiunga
WUV;city;Wuvulu Island;-1.737854:142.86878;Pacific/Port_Moresby;Papua New Guinea;Wuvulu Island
PTQ;city;Porto de Moz;-1.7483444:-52.238446;America/Santarem;Brazil;Porto de Moz
ORX;city;Oriximina;-1.7607546:-55.8628382;America/Santarem;Brazil;Oriximina
WNE;city;Wora Na Ye;-1.78:9.55;Africa/Libreville;Gabon;Wora Na Ye
OOT;city;Onotoa;-1.809311:175.55349;;Kiribati;Onotoa
KTG;city;Ketapang;-1.82:109.96;Asia/Jakarta;Indonesia;Ketapang
CPU;city;Cururupu;-1.8289176:-44.8634095;America/Fortaleza;Brazil;Cururupu
